title;start;optimization;cm_nash_mode;c_testOneRegi_region;climate;c_keep_iteration_gdxes;CES_parameters;c_CES_calibration_iterations;c_CES_calibration_new_structure;buildings;transport;industry;cm_flex_tax;CCU;cm_CES_calibration_default_prices;cm_EDGEtr_scen;c_shBioTrans;cm_DiscRateScen;cm_esubGrowth;cm_buildings_scen;cm_bioenergy_tax;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;capitalMarket;c_budgetCO2;carbonprice;cm_co2_tax_2020;cm_peakBudgYr;cm_taxCO2inc_after_peakBudgYr;cm_CO2priceRegConvEndYr;cm_emiscen;cm_earlyreti_rate;cm_fetaxscen;cm_co2_tax_growth;cm_bioenergymaxscen;c_ccsinjecratescen;c_ccscapratescen;techpol;cm_POPscen;cm_GDPscen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_OILRETIRE;cm_LU_emi_scen;cm_tradecost_bio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;cm_VRE_supply_assumptions;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau
___Transport_Industry___;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TraInd-PkBudg900_SA1;0;nash;parallel;;magicc;1;load;10;0;simple;edge_esm;subsectors;0;off;0.1;ElecEra;0.05;3;middle;electrification;1.5;rcp20;9;globallyOptimal;perfect;900;diffCurvPhaseIn2Lin;200;2045;3;2050;9;0.09;3;1.05;0;5;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;1;2025;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-calibrate_2021-01-25_10.41.35/input.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-NDC_2021-02-08_13.42.17/fulldata.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-Base_2021-02-08_10.04.38/fulldata.gdx
TraInd-PkBudg1100_SA1;0;nash;parallel;;magicc;1;load;10;0;simple;edge_esm;subsectors;0;off;0.1;ElecEra;0.05;3;middle;electrification;1.5;rcp26;9;globallyOptimal;perfect;1100;diffCurvPhaseIn2Lin;100;2080;3;2050;9;0.09;3;1.05;0;5;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;1;2025;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-calibrate_2021-01-25_10.41.35/input.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-NDC_2021-02-08_13.42.17/fulldata.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-Base_2021-02-08_10.04.38/fulldata.gdx
TraInd-PkBudg1300_SA1;0;nash;parallel;;magicc;1;load;10;0;simple;edge_esm;subsectors;0;off;0.1;ElecEra;0.05;3;middle;electrification;1.5;rcp26;9;globallyOptimal;perfect;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;0;5;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;1;2025;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-calibrate_2021-01-25_10.41.35/input.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-NDC_2021-02-08_13.42.17/fulldata.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-Base_2021-02-08_10.04.38/fulldata.gdx
TraInd-PkBudg900_SA3;0;nash;parallel;;magicc;1;load;10;0;simple;edge_esm;subsectors;0;off;0.1;ElecEra;0.05;3;middle;electrification;1.5;rcp20;9;globallyOptimal;perfect;900;diffCurvPhaseIn2Lin;200;2045;3;2050;9;0.09;3;1.05;1;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;1;2025;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-calibrate_2021-01-25_10.41.35/input.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-NDC_2021-02-08_13.42.17/fulldata.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-Base_2021-02-08_10.04.38/fulldata.gdx
TraInd-PkBudg1100_SA3;0;nash;parallel;;magicc;1;load;10;0;simple;edge_esm;subsectors;0;off;0.1;ElecEra;0.05;3;middle;electrification;1.5;rcp26;9;globallyOptimal;perfect;1100;diffCurvPhaseIn2Lin;100;2080;3;2050;9;0.09;3;1.05;1;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;1;2025;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-calibrate_2021-01-25_10.41.35/input.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-NDC_2021-02-08_13.42.17/fulldata.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-Base_2021-02-08_10.04.38/fulldata.gdx
TraInd-PkBudg1300_SA3;0;nash;parallel;;magicc;1;load;10;0;simple;edge_esm;subsectors;0;off;0.1;ElecEra;0.05;3;middle;electrification;1.5;rcp26;9;globallyOptimal;perfect;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;1;1;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;1;2025;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-calibrate_2021-01-25_10.41.35/input.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-NDC_2021-02-08_13.42.17/fulldata.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-Base_2021-02-08_10.04.38/fulldata.gdx
TraInd-PkBudg900_SA5;1;nash;parallel;;magicc;1;load;10;0;simple;edge_esm;subsectors;0;off;0.1;ConvCase;0.05;3;middle;none;1.5;rcp20;9;globallyOptimal;perfect;900;diffCurvPhaseIn2Lin;200;2045;3;2050;9;0.09;3;1.05;1;5;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;1;2025;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-calibrate_2021-01-25_10.41.35/input.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-PkBudg900_SA5_2021-02-09_10.35.30/fulldata_175.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-PkBudg900_SA5_2021-02-09_10.35.30/fulldata_175.gdx
TraInd-PkBudg1100_SA5;0;nash;parallel;;magicc;1;load;10;0;simple;edge_esm;subsectors;0;off;0.1;ConvCase;0.05;3;middle;none;1.5;rcp26;9;globallyOptimal;perfect;1100;diffCurvPhaseIn2Lin;100;2080;3;2050;9;0.09;3;1.05;1;5;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;1;2025;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-calibrate_2021-01-25_10.41.35/input.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-NDC_2021-02-08_13.42.17/fulldata.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-Base_2021-02-08_10.04.38/fulldata.gdx
TraInd-PkBudg1300_SA5;0;nash;parallel;;magicc;1;load;10;0;simple;edge_esm;subsectors;0;off;0.1;ConvCase;0.05;3;middle;none;1.5;rcp26;9;globallyOptimal;perfect;1300;diffCurvPhaseIn2Lin;60;2100;3;2050;9;0.09;3;1.05;1;5;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;1;2025;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-calibrate_2021-01-25_10.41.35/input.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-NDC_2021-02-08_13.42.17/fulldata.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-Base_2021-02-08_10.04.38/fulldata.gdx
TraInd-PkBudg900_SA7;1;nash;parallel;;magicc;1;load;10;0;simple;edge_esm;subsectors;0;off;0.1;ElecEra;0.05;3;middle;electrification;1.5;rcp20;9;globallyOptimal;perfect;900;diffCurvPhaseIn2Lin;200;2045;3;2050;9;0.09;3;1.05;1;5;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;0;2025;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-calibrate_2021-01-25_10.41.35/input.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-PkBudg900_SA7_2021-02-09_10.35.33/fulldata_121.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-PkBudg900_SA7_2021-02-09_10.35.33/fulldata_121.gdx
TraInd-PkBudg1100_SA7;0;nash;parallel;;magicc;1;load;10;0;simple;edge_esm;subsectors;0;off;0.1;ElecEra;0.05;3;middle;electrification;1.5;rcp26;9;globallyOptimal;perfect;1100;diffCurvPhaseIn2Lin;100;2080;3;2050;9;0.09;3;1.05;1;5;1;NDC2018;pop_SSP2;gdp_SSP2;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;0;2025;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-calibrate_2021-01-25_10.41.35/input.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-NDC_2021-02-08_13.42.17/fulldata.gdx;/p/projects/remind/users/madeddu/DeepEl_26.06.2020/output/TraInd-Base_2021-02-08_10.04.38/fulldata.gdx
